channel_id	program_original_title	program_local_title	program_release_year	start_date	start_time	duration
69040374	The Blind Side	The Blind Side (Un sueño posible)	2009	20161112	09:00:00 PM	7800
1636306181	Prime Series-programma	Prime Series-programma		20161114	03:30:00 AM	9000
1636306181	Togetherness	Togetherness	2016	20161114	06:00:00 AM	1800
1636306181	Mr. Robot	Mr. Robot	2016	20161114	06:30:00 AM	3600
1636306181	Game of Thrones	Game of Thrones	2016	20161114	07:30:00 AM	3600
1636306181	The Missing	The Missing	2016	20161114	08:30:00 AM	3600
1636306181	Inherent Vice	Inherent Vice	2014	20161114	09:30:00 AM	9000
1636306181	Togetherness	Togetherness	2016	20161114	12:00:00 PM	1800
1636306181	Mr. Robot	Mr. Robot	2016	20161114	12:30:00 PM	3600
1636306181	Game of Thrones	Game of Thrones	2016	20161114	01:30:00 PM	3600
1636306181	The Missing	The Missing	2016	20161114	02:30:00 PM	3900
69040374	Syriana	Syriana	2005	20161121	12:25:00 AM	7800
69043571	Good Luck Charlie	Good Luck Charlie	2010	20161121	09:38:00 PM	1320
69043571	Violetta	Violetta	2012	20161121	10:00:00 PM	3180
69043571	Hannah Montana	Hannah Montana	2008	20161121	10:53:00 PM	1380
69043571	Hannah Montana	Hannah Montana	2008	20161121	11:16:00 PM	1440
69040374	Mr. & Mrs. Smith	Sr. y Sra. Smith	2005	20161124	11:15:00 PM	6900
69040374	Pool Fiction	Pool Fiction		20161125	01:10:00 AM	3300
69040374	Life as a House	La casa de mi vida	2001	20161125	02:05:00 AM	7500
69040374	Les misérables	Testigo de excepción	1995	20161125	04:10:00 AM	10200
69040374	Field of Dreams	Campo de sueños	1989	20161125	07:00:00 AM	6300
69040374	The Breakfast Club	El Club de los Cinco	1985	20161125	08:45:00 AM	6000
69040374	Pool Fiction	Pool Fiction		20161125	10:25:00 AM	3300
69040374	La loi du marché	La ley del mercado	2015	20161125	11:20:00 AM	5700
69040374	Pool Fiction	Pool Fiction		20161125	08:00:00 PM	3600
69040374	La fleur du mal	La Flor del Mal	2003	20161125	09:00:00 PM	6900
69040374	Remember	Remember	2015	20161125	12:55:00 PM	5700
69040374	Beauty and the Beast	La bella y la bestia	1991	20161125	02:30:00 PM	5400
69040374	Miss Potter	Miss Potter	2006	20161125	04:00:00 PM	5700
69040374	Fight Club	El club de la lucha	1999	20161125	05:35:00 PM	8700
69040374	Estreno en salas	Estreno en salas		20161125	10:55:00 PM	1500
69040374	Queen of the Desert	La reina del desierto	2015	20161125	11:20:00 PM	7800
69040374	Robin Hood	Robin Hood	2010	20161126	01:30:00 AM	8100
69040374	Babe	Babe, el cerdito valiente	1995	20161126	05:30:00 AM	5400
69040374	Ein Atem	Respira	2015	20161126	07:00:00 AM	6000
69040374	The Van	La camioneta	1996	20161126	08:40:00 AM	6000
69040374	Nikita	Nikita	1990	20161126	10:20:00 AM	7200
69040374	The Young Victoria	La reina Victoria	2009	20161126	12:20:00 PM	6300
69040374	Estreno en salas	Estreno en salas		20161126	02:05:00 PM	1500
69040374	Ocho apellidos catalanes	Ocho apellidos catalanes	2015	20161126	02:30:00 PM	6600
69040374	Pride & Prejudice	Orgullo y prejuicio	2005	20161126	04:20:00 PM	7800
69040374	Natural Born Killers	Asesinos natos	1994	20161126	06:30:00 PM	7200
